,Avg_temp,Max_temp,Min_temp,Avg_relative_humidity(%),Total_rainfall_snowmelt(mm),Avg_visibility,Avg_wind_speed,Max_sustained_wind_speed,PM2.5
0,23.4,30.3,19,59,0,6.3,4.3,5.4,284.79583333333335
1,22.4,30.3,16.9,57,0,6.9,3.3,7.6,219.72083333333333
2,24,31.8,16.9,51,0,6.9,2.8,5.4,182.1875
3,22.8,30.2,17.6,55,0,7.7,3.7,7.6,154.03750000000002
4,23.1,30.6,17.4,46,0,6.9,3.3,5.4,223.20833333333334
5,22.9,30.6,17.4,51,0,6.9,3.5,3.5,200.64583333333337
6,22.3,30.1,15.7,43,0,6.9,2.8,5.4,285.22499999999997
7,21.8,30.6,14.8,41,0,6.9,1.9,5.4,236.82499999999996
8,21.6,30.6,14.2,43,0,6.9,3.1,7.6,276.90833333333336
9,21.6,29.6,16.4,58,0,6.9,2.2,3.5,108.0
10,21.9,29.6,16.6,58,0,6.9,2.4,5.4,107.625
11,22.3,29.9,17.5,55,0,6.9,3.1,5.4,125.89166666666667
12,21.6,29.1,15.5,47,0,7.7,4.8,7.6,181.01250000000005
13,21.8,29.2,14.6,41,0,6.9,2.8,3.5,152.55416666666667
14,22.3,30.1,15.6,40,0,6.9,2.4,5.4,152.32083333333335
15,22.1,29.8,17.3,54,0,6.9,5.2,9.4,319.7375
16,21.6,29.2,15.3,51,0,6.9,3.9,5.4,332.7083333333333
17,21.4,29.2,15.2,45,0,6.9,2.8,5.4,279.59999999999997
18,21.8,29.6,14.4,37,0,7.4,2.2,3.5,179.11666666666667
19,24.6,32.2,18.8,55,0,6.9,2.2,3.5,54.791666666666664
20,24.6,32.2,21,63,0.51,5.5,3.9,9.4,93.375
21,23.9,31.6,19,51,0,6.6,5.9,9.4,103.0
22,24.5,31.5,18.9,49,0,6.9,4.8,9.4,132.20833333333334
23,23.9,31.5,19.7,64,0,6.3,5.2,9.4,127.70833333333333
24,24.3,31.4,20.2,68,0,6.9,3.5,5.4,109.33333333333333
25,24.8,31.8,20.5,62,0,6.3,2,5.4,56.458333333333336
26,24.5,32.2,19.7,59,0,6.6,3.9,5.4,135.83333333333334
27,24.3,32.2,18,47,0,6.9,5,9.4,122.5
